		number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P00533_WT	Fold 1	5.0	-0.05844550455617936	2.082449361745382	1.4430694237441877	0.039568333940638876	0.19891790754137464	1.2455464569091796	-0.03937605701829083	2.445449256896973	0.3356674795644775	0.05488854383251827	-0.26174734607838884	-0.19999999999999998	-0.19999999999999998
P00533_WT	Fold 2	5.0	-0.9227129544463506	0.32069436963430664	0.566298834215917	0.007287701653796297	0.08536803648788167	0.5000048675537109	-0.4589205964681018	0.9554471969604492	0.05597081739644594	0.00980404432916444	0.3235170385088868	0.7999999999999999	0.6
P00533_WT	Fold 3	5.0	-1.082279778876083	2.5785498517403855	1.6057863655357103	0.04680661130873595	0.216348356380944	1.178098637390137	-0.7083566730676714	3.1375621490478522	0.42410903689255264	0.07057384139033643	-0.7200787648312196	-0.7999999999999999	-0.6
P00533_WT	Fold 4	4.0	-1.2916869502996429	1.933394729589824	1.390465652071213	0.03927199161920495	0.1981716216293467	1.0988227634429932	-1.0740964042293792	2.4846016349792484	0.33707344939499206	0.05924889311117265	-0.2961365210737279	-0.39999999999999997	-0.3333333333333334
P00533_WT	Fold 5	4.0	-18.958366821351024	1.6508301162715946	1.2848463395564447	0.03061937317360052	0.17498392261462342	1.06963090801239	-11.336613203358667	1.8012796134948728	0.2492114765923037	0.0379530250158413	0.4486268359986537	0.39999999999999997	0.3333333333333334
P00533_WT	Mean	4.6	-4.462698401905856	1.7131836857962988	1.2580933230246945	0.03271080233919532	0.17475796893083412	1.0184207266616823	-2.723472586828422	2.1648679702758793	0.28040645196815434	0.046493669535806616	-0.10116375149515917	-0.03999999999999998	-0.04
P00533_WT	SD	0.447213595499958	6.6274163790988	0.6924140268728073	0.32962715851521823	0.012513159069244727	0.04252895713868519	0.24321633226487724	3.9433466141532523	0.6735459078980293	0.11420729926806641	0.01928771425061015	0.39359046587251006	0.5215361924162119	0.4029520695695337
P00533_WT	Test set	94.0	0.05844670492987847	0.8786349748693666	0.9373553087647003	0.01592581610898183	0.1261975281413302	0.7587313971418014	0.06666636537487647	2.1891930007934572	0.13459715899618802	0.020984413482974366	0.4610847356497234	0.442594995397298	0.3066148094322203
P04626_WT	Fold 1	7.0	0.644412675004677	0.1483371858530265	0.38514566835552816	0.0029047150292983597	0.053895408239462844	0.30770190266200476	0.6588847300122912	0.6006794013977048	0.0238233657583142	0.0038895323550419214	0.8355123529655497	0.7142857142857144	0.5238095238095238
P04626_WT	Fold 2	6.0	-0.9796148344369371	1.0902251393529125	1.0441384675189938	0.023581003317051426	0.15356107357351806	0.8590208225250243	-0.9789200606836883	2.011089790344238	0.1929935663125842	0.03432784570939148	-0.6534707982824618	-0.48571428571428577	-0.3333333333333333
P04626_WT	Fold 3	6.0	0.03754978080374605	0.3047081034744837	0.5520037169027793	0.006226017394763507	0.07890511640421999	0.43608746655782077	0.20874148880101417	1.06289949798584	0.05179827944525517	0.008841525393808633	0.5245959905101915	0.48571428571428577	0.3333333333333333
P04626_WT	Fold 4	6.0	-0.810861919155115	0.8787163197186613	0.937398698376876	0.01759622409569853	0.13265075987606906	0.7615460262298583	-0.746119623941784	1.6663871383666988	0.14620268734621789	0.024418415041140024	-0.6606181098195338	-0.6	-0.4666666666666666
P04626_WT	Fold 5	6.0	0.11205705223900242	0.9036552215470377	0.950607816897714	0.02054259161755891	0.1433268698379997	0.7668085575103759	0.15399394599707528	1.7738511619567872	0.15465376966568822	0.026740728962072986	0.39745720556546327	0.6	0.4666666666666666
P04626_WT	Mean	6.2	-0.1992914491089253	0.6651283939892243	0.7738588736103782	0.014170110290874147	0.11246784558625392	0.6262329550970168	-0.14068390396301833	1.4229813980102537	0.11389433370561193	0.01964360949229101	0.08869532818784176	0.14285714285714288	0.10476190476190476
P04626_WT	SD	0.3651483716701107	0.5549461433398641	0.33669918102627844	0.23500148532101706	0.007426634769017482	0.03560306634805361	0.19573734808501494	0.565307498367421	0.4715341937375283	0.059062889018726236	0.010437677211225072	0.5708707005517992	0.5163977794943222	0.3823782838073282
P04626_WT	Test set	2.0	-1.680027715941021	0.7386826392062437	0.8594664852140795	0.016281832381002576	0.12760028362430303	0.7395536613464357	0.30433370994893383	1.177438373565674	0.1245890321408476	0.021067294093913835	1.0	0.9999999999999999	1.0
P06239_WT	Fold 1	5.0	0.11944073187118764	1.638615342209769	1.28008411528687	0.0250066330034248	0.15813485701585467	1.0555496726989744	0.7181816328627055	2.2292001113891597	0.23860898513355408	0.03555721102846539	0.934905161122886	0.8999999999999998	0.7999999999999999
P06239_WT	Fold 2	5.0	-0.43948968052436643	0.7749287711772419	0.8803003869005408	0.014876236017049436	0.12196817624712372	0.6546542327880858	-0.05166310479978109	1.7931340866088865	0.12972800781893348	0.02181993810757703	0.1385923502750483	0.6	0.39999999999999997
P06239_WT	Fold 3	5.0	-0.5168178850602474	2.5032479973791535	1.5821656036518912	0.04193285531894498	0.20477513354639762	1.2244216674804687	-0.36441781381440275	3.15227318572998	0.3921402482120605	0.06219952036217373	-0.08667771474220039	0.09999999999999999	0.0
