target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9IP65_WT		4.0	Number of points 4 < 30													
P30939_WT	Fold 1	5.0		-1.0106821160887045	0.7335319022452644	0.8564647699965623	0.012646561326901362	0.11245693098649528	0.7380231567382814	-0.17276076204705015	1.3604516792297368	0.10770153758066776	0.01586133588838967	0.15760615945221335	-0.09999999999999999	0.0
P30939_WT	Fold 2	4.0		0.7729274494232703	0.2477177030344778	0.4977124702420844	0.0032083515606542543	0.05664231245856982	0.3663824033737184	0.7892254574939599	0.9333583259582525	0.03229962005446474	0.004225691033115986	0.8971807393072576	0.7999999999999999	0.6666666666666669
P30939_WT	Fold 3	4.0		-131.03685272685658	1.2252607317887514	1.1069149614079445	0.01917225213250949	0.13846390191132665	1.013621997833252	-68.47509873578167	1.7146958541870116	0.18091473560891513	0.026864131038853545	-0.5152251928549273	-0.19999999999999998	0.0
P30939_WT	Fold 4	4.0		0.7294321673340567	0.5973258399807864	0.772868578725249	0.01109581732750807	0.10533668557301426	0.5749221801757813	0.7609243786354378	1.465439796447754	0.09075652512788235	0.013892312118143457	0.9181031587171239	0.7378647873726218	0.5477225575051662
P30939_WT	Fold 5	4.0		0.32376345607796386	0.6895710832724988	0.8304041686266386	0.011991121717413336	0.10950398037246561	0.7492515993118285	0.35069550816438855	1.3480484962463377	0.10235805029302858	0.015259623278723655	0.6119233154171999	0.19999999999999998	0.0
P30939_WT	Mean	4.2		-26.044282354022	0.6986814520643557	0.8128729897996958	0.011622820812997304	0.10448076226037432	0.6884402674865722	-13.349402830706987	1.3643988304138186	0.10280609373299172	0.015220618671445262	0.4139176360077735	0.2875729574745244	0.2428778448343666
P30939_WT	SD	0.3651483716701107		47.92596607463759	0.2864217617350087	0.17776143779060424	0.004641455032572906	0.02426573596810329	0.19515261665331024	25.163336700928326	0.23057757609699567	0.04328487222891534	0.0065655191751187135	0.4926043860340349	0.3788036903839994	0.27370793646011055
P30939_WT	Test set	10.0		-0.24074922213873906	0.9769384052868041	0.9884019452058985	0.015782547175797672	0.12562860811056403	0.7218614566802979	0.18780773038904253	1.9778774261474608	0.14794322170897461	0.022643631507999105	0.680546484099817	0.6242424242424242	0.37777777777777777
P28566_WT	Fold 1	6.0		-0.6304752163275882	0.1923528226424446	0.43858046313355614	0.003868360699660066	0.06219614698403805	0.38089497502644853	-0.30726653582529107	0.6659029197692874	0.03200850417127743	0.005331355846005896	0.19192738487056243	0.3714285714285715	0.3333333333333333
P28566_WT	Fold 2	6.0		0.31132789814717565	0.08281090726974148	0.2877688434659692	0.0018057275970199285	0.04249385363814311	0.2322714583079022	0.316310014461346	0.5530628204345707	0.014224499790622383	0.0024489988440161703	0.610512571941648	0.4285714285714286	0.4666666666666666
P28566_WT	Fold 3	6.0		-0.5095130905360723	0.14870800487739386	0.3856267688807325	0.0036933362591762314	0.06077282500572301	0.34760619799296055	-0.3332760038986444	0.6505624198913571	0.0275056378240827	0.005098751465618889	0.37885030489328736	0.48571428571428577	0.3333333333333333
P28566_WT	Fold 4	6.0		0.6744209802014026	0.12057710471901117	0.34724214133513687	0.0022754953903035644	0.04770215288960829	0.295110045115153	0.687694340437089	0.6114194908142085	0.019323588355788363	0.003110313734341119	0.9247814211663099	0.942857142857143	0.8666666666666666
P28566_WT	Fold 5	6.0		-0.09587516197785817	0.31109841082622697	0.5577619660986458	0.007127867994375599	0.0844267019039332	0.4983404954274495	0.4213637345217529	0.9574971199035645	0.054230921976822444	0.00953060607000955	0.7144689313344527	0.7714285714285715	0.6
P28566_WT	Mean	6.0		-0.050022918098588075	0.1711094500669636	0.4033960365828081	0.003754157588107078	0.059518336084289136	0.3508446343739827	0.15696510993925047	0.6876889541625977	0.029458630423718664	0.005104005191998325	0.5641081228412521	0.6	0.52
P28566_WT	SD	0.0		0.44824693557983714	0.07176369247502316	0.08357176425207537	0.0017020323545439626	0.013282985917602885	0.08148055186533261	0.37256281752419	0.12818650739195928	0.012641072468212883	0.002260913369669035	0.23369707407202908	0.20067911910195693	0.18216801361705948
P28566_WT	Test set	14.0		0.4312094187197818	0.40228598388437165	0.634260186267727	0.00785788280749059	0.08864469982740418	0.4395790007455008	0.43435299471325506	1.8277290725708006	0.06634373315979213	0.011121942058519954	0.6885755965611944	0.7106714971491007	0.5524946201098299
P47898_WT	Fold 1	29.0		0.5538127115503928	0.5914521635017246	0.7690592717741102	0.011108821435177907	0.10539839389278144	0.5474115586116397	0.5539291505681425	2.820117950439453	0.09475742954022613	0.015617907258090447	0.7621377683702517	0.8343012437234811	0.638453622679583
P47898_WT	Fold 2	29.0		0.6612561228791538	0.3606565321827253	0.6005468609381996	0.007600066308637209	0.08717835917610063	0.4778772010803222	0.6777866822337753	1.356018199920654	0.061463969414203845	0.010646363698536753	0.8311633743603553	0.7801873791321338	0.5809681478387502
