target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9IP65_WT		4.0	Number of points 4 < 30													
P30939_WT	Fold 1	5.0		-2.151110300436135	1.1495799929627424	1.0721846823018608	0.01958527902543688	0.13994741521527604	0.8812395149230958	-0.02242072172001608	1.825255851745606	0.16620581716147917	0.02410547929291216	0.2922081925155087	0.09999999999999999	0.0
P30939_WT	Fold 2	4.0		0.3332871813184263	0.7273295147650793	0.852836159391169	0.012377277566860677	0.11125321373722503	0.730756497383118	0.5306089830095628	1.4347938156127933	0.10588651694303097	0.015493465777403403	0.8351068584507287	0.7999999999999999	0.6666666666666669
P30939_WT	Fold 3	4.0		-273.5639967574498	2.547868088660146	1.5962042753545507	0.04139399981203223	0.20345515430195477	1.5747682189941405	-6.324939024742865	1.9140233993530273	0.38750029477045267	0.05916846378130214	-0.20621967277486622	0.19999999999999998	0.0
P30939_WT	Fold 4	4.0		0.016916463636386547	2.1703289461415407	1.4732036336303074	0.032760370202680696	0.1809982602200383	1.4660194873809815	0.0222269104699222	1.695528259277344	0.3031545782808833	0.04268425983328539	0.1632004957444526	0.19999999999999998	0.0
P30939_WT	Fold 5	4.0		0.18266285545046423	0.833454011368622	0.912937024864597	0.012098165519239715	0.10999166113501384	0.5880864286422731	0.3194981245327939	1.7777875137329104	0.11834130673887655	0.016883169441966328	0.5661593153623052	0.7999999999999999	0.6666666666666669
P30939_WT	Mean	4.2		-55.03644811149612	1.4857121107796263	1.181473155108497	0.02364301842525004	0.1491291409219016	1.048174029464722	-1.0950051456901204	1.7294777679443363	0.21621770277894453	0.03166696762537388	0.33009103785962585	0.41999999999999993	0.2666666666666667
P30939_WT	SD	0.3651483716701107		99.74716305574673	0.6721166966409639	0.27360752690913487	0.010605731456574948	0.03419938782524297	0.36336342904314944	2.3942394056713825	0.14919537741236122	0.1009535328869464	0.015357039509429262	0.3234413785243841	0.2851899951494325	0.2981423969999721
P30939_WT	Test set	10.0		0.38763187668841315	0.4821650718468873	0.6943810710603273	0.007431078070361763	0.08620370102473422	0.6096970954895021	0.39129874683748345	1.3539813804626464	0.06721660637162134	0.009469173058518975	0.6360655467107078	0.6727272727272726	0.5111111111111111
P28566_WT	Fold 1	6.0		-0.762959673675119	0.20798247409120973	0.45605095558633546	0.004191149020412214	0.06473908417959134	0.3426425209045411	0.12251862473697805	0.763437404632568	0.035037853330759226	0.005907957952008269	0.47503540013093176	0.3142857142857143	0.3333333333333333
P28566_WT	Fold 2	6.0		0.061831115085646315	0.11281220238627078	0.33587527802187345	0.0026173473003707633	0.05116001661816348	0.28361318270365404	0.2621203519561447	0.6215028762817383	0.02044020585849804	0.0037085025577553075	0.512773422492087	0.3714285714285715	0.3333333333333333
P28566_WT	Fold 3	6.0		0.22311843834600398	0.07653362384460823	0.27664711067460696	0.0018628278574300515	0.043160489541130685	0.24957357088724752	0.5067738301700382	0.440781211853027	0.014020234604897652	0.0025738018571195287	0.8033287928551368	0.942857142857143	0.8666666666666666
P28566_WT	Fold 4	6.0		0.3508610715120839	0.24040643836907136	0.4903125925050991	0.004831068377020894	0.0695058873551075	0.39870299720764163	0.3966928684194364	0.7022165298461918	0.03933395146178794	0.006457101437626307	0.6412505536137788	0.7714285714285715	0.6
P28566_WT	Fold 5	6.0		0.044302740481521385	0.2713045326536802	0.5208690167918228	0.006167738328705277	0.07853494972752753	0.5063048585255939	0.2082782814328824	0.7204909324645996	0.04759444314905389	0.008434127224452803	0.7079152945695306	0.7142857142857143	0.6
P28566_WT	Mean	6.0		-0.016569261649972678	0.18180785426896806	0.41595099071594754	0.00393402617678784	0.06142008548430411	0.3561674260457356	0.2992767913430959	0.649685791015625	0.03128533768099935	0.005416298205792444	0.628060692732293	0.6228571428571429	0.5466666666666666
P28566_WT	SD	0.0		0.3557634771717001	0.06827838090424612	0.08559900501461144	0.0014073481318333863	0.011604570790878604	0.08282493051539758	0.12479963438157221	0.10420146836469607	0.011258694026824827	0.001889825570742214	0.11103868067817507	0.22032752367118105	0.1821680136170595
P28566_WT	Test set	14.0		0.428912778982134	0.4039103180539145	0.63553939142583	0.007546544118670687	0.08687084734633758	0.43645894077845987	0.432366765548	1.9334200286865233	0.06504386794906594	0.01060887432096323	0.6705516714191417	0.8382843356464625	0.6629935441317959
P47898_WT	Fold 1	29.0		0.5201927909535777	0.6360176975016657	0.7975071770847367	0.011839677652455317	0.10881028284337523	0.5565226975802716	0.5246774628109625	2.965085029602051	0.100964012004436	0.016394682543103743	0.7249120689291833	0.7814942439728674	0.6185019469708462
P47898_WT	Fold 2	29.0		0.5556816294209896	0.4730604257119526	0.6877938831597389	0.010552071479242255	0.10272327622911107	0.5230054229210164	0.6002124567768847	2.0332604789733884	0.08490917948079386	0.015516609417618944	0.7766692851264934	0.7801873791321338	0.6056901966829523
P47898_WT	Fold 3	29.0		0.3850010596186806	0.8800764666716221	0.9381239079522609	0.015337602755958841	0.12384507562256498	0.6470954735854576	0.3850020904973046	2.968014717102051	0.1366988711866513	0.02153335388362259	0.6336549052842759	0.6180000198116548	0.43839982154947293
P47898_WT	Fold 4	28.0		0.5471242334894744	0.6793342463708021	0.8242173538398728	0.012529826848970343	0.11193670912158506	0.5841861433301653	0.5630876152461952	2.388322834014893	0.10801841286132755	0.017520947807064924	0.7526353543178829	0.6821855631447687	0.500007073486451
P47898_WT	Fold 5	28.0		0.6816311040338594	0.2838119047550004	0.5327399973298423	0.006348186176272168	0.07967550549743735	0.3994670863832747	0.75967040281617	1.253381538391113	0.04842282885314729	0.008379646337587365	0.8741441454952515	0.8310273934654366	0.6382121182285646
P47898_WT	Mean	28.6		0.5379261635033163	0.5904601482022085	0.7560764638732904	0.011321472982579786	0.10539816986281472	0.5420553647600371	0.5665300056295034	2.3216129196166997	0.09580266087727121	0.015869047997799514	0.7524031518306173	0.7385789199053722	0.5601622313836574
